,file_name,iteration,actual_theta(degrees),calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge
0,2RobotsFull_R1_res0.05.pgm,0,0,1.5071798260364405e-16,0.0,492,492,492,sift,6.471646070480347,True,0.0
1,2RobotsFull_R1_res0.05.pgm,0,30,29.99874679162053,506.1746031746032,492,611,378,sift,5.8224194049835205,True,0.22252914309501648
2,2RobotsFull_R1_res0.05.pgm,0,60,59.99693385876482,490.44686648501363,492,608,367,sift,5.904202222824097,True,0.3542111814022064
3,2RobotsFull_R1_res0.05.pgm,0,90,89.99854302323867,50.06768558951965,492,485,458,sift,5.829401969909668,True,0.5232073068618774
4,2RobotsFull_R1_res0.05.pgm,0,120,119.99829080443136,511.7626666666667,492,610,375,sift,5.862315893173218,True,0.6552925705909729
5,2RobotsFull_R1_res0.05.pgm,0,150,149.9982862069582,495.5081081081081,492,601,370,sift,5.897252798080444,True,0.7020063996315002
6,2RobotsFull_R1_res0.05.pgm,0,180,179.9987490189604,63.847639484978544,492,501,466,sift,5.709728002548218,True,0.714972198009491
7,2RobotsFull_R2_res0.05.pgm,0,0,-0.0,0.0,528,528,525,sift,5.773548126220703,True,0.0
8,2RobotsFull_R2_res0.05.pgm,0,30,29.996074041554447,581.448275862069,528,552,348,sift,6.0483434200286865,True,0.3894909918308258
9,2RobotsFull_R2_res0.05.pgm,0,60,59.99540782550207,544.760989010989,528,578,364,sift,5.9410481452941895,True,0.4143384099006653
10,2RobotsFull_R2_res0.05.pgm,0,90,90.0004895661727,37.70841889117043,528,503,487,sift,5.90619683265686,True,0.5004745125770569
11,2RobotsFull_R2_res0.05.pgm,0,120,119.99504219422266,586.1380281690141,528,557,355,sift,5.9650397300720215,False,16.496557235717773
12,2RobotsFull_R2_res0.05.pgm,0,150,149.99510223173633,507.07377049180326,528,580,366,sift,6.067796230316162,False,2.383059024810791
13,2RobotsFull_R2_res0.05.pgm,0,180,-179.99989880331162,42.429752066115704,528,510,484,sift,5.903226375579834,True,0.7215726375579834
14,MiniOverlap_R1_res0.05.pgm,0,0,-0.0,0.0,505,505,505,sift,2.7167112827301025,True,0.0
15,MiniOverlap_R1_res0.05.pgm,0,30,29.998356889073666,561.1184210526316,505,605,380,sift,2.7865097522735596,True,0.19940413534641266
16,MiniOverlap_R1_res0.05.pgm,0,60,60.0017241898838,537.1283950617284,505,675,405,sift,2.792560338973999,True,0.3309445083141327
17,MiniOverlap_R1_res0.05.pgm,0,90,89.99896495441507,80.78478260869565,505,496,460,sift,2.747648239135742,True,0.5119019746780396
18,MiniOverlap_R1_res0.05.pgm,0,120,119.99963979043682,546.9552631578947,505,599,380,sift,2.787543296813965,True,0.6204896569252014
19,MiniOverlap_R1_res0.05.pgm,0,150,149.99786618362907,521.3291770573566,505,656,401,sift,3.004926919937134,True,0.6576824188232422
20,MiniOverlap_R1_res0.05.pgm,0,180,179.99936887300248,103.41008771929825,505,490,456,sift,2.733715534210205,True,0.7038723230361938
21,MiniOverlap_R2_res0.05.pgm,0,0,-0.0,0.0,539,539,539,sift,2.7759478092193604,True,0.0
22,MiniOverlap_R2_res0.05.pgm,0,30,29.99625371076339,536.4871194379391,539,654,427,sift,2.977998971939087,True,0.20601746439933777
23,MiniOverlap_R2_res0.05.pgm,0,60,59.995622383467875,522.6908212560387,539,680,414,sift,2.902268409729004,True,0.37531962990760803
24,MiniOverlap_R2_res0.05.pgm,0,90,90.00049667640639,46.830677290836654,539,527,502,sift,2.7456538677215576,True,0.5183871388435364
25,MiniOverlap_R2_res0.05.pgm,0,120,119.99643938776897,527.4028436018957,539,658,422,sift,2.8114430904388428,True,0.6058099865913391
26,MiniOverlap_R2_res0.05.pgm,0,150,149.99735012465598,533.6219512195122,539,649,410,sift,2.804497480392456,True,0.7001979947090149
27,MiniOverlap_R2_res0.05.pgm,0,180,-179.9987371489948,80.65567010309279,539,526,485,sift,2.769623041152954,True,0.7195532321929932
28,FuulPath_res0.05.pgm,0,0,-0.0,0.0,530,530,506,sift,2.813502073287964,True,0.0
29,FuulPath_res0.05.pgm,0,30,29.999102503550134,573.4705882352941,530,492,306,sift,2.7775862216949463,True,0.19485895335674286
30,FuulPath_res0.05.pgm,0,60,60.001441570227655,587.7434210526316,530,480,304,sift,2.978977680206299,True,0.37612470984458923
31,FuulPath_res0.05.pgm,0,90,89.9991531616947,42.092243186582806,530,518,477,sift,3.0039782524108887,True,0.5214895009994507
32,FuulPath_res0.05.pgm,0,120,119.99975994917632,573.8888888888889,530,500,315,sift,3.5239100456237793,True,0.6588435173034668
33,FuulPath_res0.05.pgm,0,150,150.0003384596515,585.9444444444445,530,474,306,sift,3.2572803497314453,True,0.7083302736282349
34,FuulPath_res0.05.pgm,0,180,179.9995382666084,59.44303797468354,530,524,474,sift,3.0328874588012695,True,0.719068169593811
35,2RobotsFull_R1_res0.05.pgm,0,0,-0.0,0.0,4291,4291,4291,surf,7.343824148178101,True,0.0
36,2RobotsFull_R1_res0.05.pgm,0,30,29.99052681665192,0.7675512652451307,4291,6810,1574,surf,7.694411993026733,False,3.9303927421569824
37,2RobotsFull_R1_res0.05.pgm,0,60,59.996415867631,0.7403785324685134,4291,6866,1570,surf,8.157204627990723,False,1.9179375171661377
38,2RobotsFull_R1_res0.05.pgm,0,90,89.9999999878295,0.0023781377096894333,4291,4291,4291,surf,6.773842811584473,True,0.0
39,2RobotsFull_R1_res0.05.pgm,0,120,119.99586270348155,0.766441133701665,4291,6814,1574,surf,7.185772657394409,True,0.4815010726451874
40,2RobotsFull_R1_res0.05.pgm,0,150,149.99479503258004,0.7429653697732895,4291,6865,1575,surf,7.434144735336304,True,0.2856370210647583
41,2RobotsFull_R1_res0.05.pgm,0,180,179.99999997932196,0.003469505928949573,4291,4291,4291,surf,7.799116611480713,True,0.0
42,2RobotsFull_R2_res0.05.pgm,0,0,-0.0,0.0,3786,3786,3786,surf,6.622337341308594,True,0.0
43,2RobotsFull_R2_res0.05.pgm,0,30,29.996984130299424,0.6000526720485729,3786,9157,1644,surf,9.256299018859863,True,0.9617330431938171
44,2RobotsFull_R2_res0.05.pgm,0,60,60.01263837872557,0.6520251082976001,3786,7801,1359,surf,8.606864929199219,True,0.4262043833732605
45,2RobotsFull_R2_res0.05.pgm,0,90,89.99999999906191,0.00017628915251180534,3786,3786,3786,surf,6.534120559692383,True,0.0
46,2RobotsFull_R2_res0.05.pgm,0,120,120.00161874667047,0.5994634468857093,3786,9162,1647,surf,9.605300903320312,True,0.31795141100883484
47,2RobotsFull_R2_res0.05.pgm,0,150,149.98527871402908,0.6481745578019693,3786,7793,1359,surf,8.358621835708618,True,0.5220412611961365
