,FileNames,ransacReprojThreshold,combinations,calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,percentage_outliers,calculated_scale
0,2RobotsFull_R2_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,0,0,180.0,1406.9669421487604,528,492,242,sift,7.238695383071899,False,739.38330078125,1.1673151750972763,1.0212765957446808
1,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,0,1,59.070353191177034,1467.1829268292684,492,505,246,sift,4.718380689620972,False,327.0748596191406,1.1764705882352942,0.231019287441423
2,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,0,2,12.087233599635237,1473.0152671755725,492,539,262,sift,5.743153810501099,False,468.80145263671875,0.0,1.0338597426539362
3,2RobotsFull_R1_res0.05.pgm_FuulPath_res0.05.pgm,0,3,168.7664649016519,1396.7543859649122,492,530,228,sift,4.448641061782837,False,549.1056518554688,0.0,0.03629682893623043
4,Block_R1_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,0,4,-90.0,1486.0,256,492,183,sift,6.406387567520142,False,561.5791015625,0.0,1.0212765957446808
5,2RobotsFull_R1_res0.05.pgm_Block_R2_res0.05.pgm,0,5,-47.60578299538167,1451.2421052631578,492,325,190,sift,7.265570402145386,False,504.9755554199219,0.0,0.7696414520198238
6,SouthWing_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,0,6,-17.844722754233626,1374.9452736318408,366,492,201,sift,6.447322845458984,False,755.8656005859375,0.0,0.7446257834842417
7,2RobotsFull_R2_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,0,7,-90.0,1368.9961240310076,528,505,258,sift,4.712366104125977,False,399.5316162109375,1.4354066985645932,1.0
8,2RobotsFull_R2_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,0,8,-90.0,1472.2972972972973,528,539,259,sift,5.800487756729126,False,578.2008666992188,0.7751937984496124,1.0
9,2RobotsFull_R2_res0.05.pgm_FuulPath_res0.05.pgm,0,9,-180.0,1275.2517985611512,528,530,278,sift,5.102357387542725,False,593.8250732421875,0.0,1.0
10,Block_R1_res0.05.pgm_2RobotsFull_R2_res0.05.pgm,0,10,90.0,1362.7423312883436,256,528,163,sift,6.935013055801392,False,620.6165161132812,0.5813953488372093,1.0
11,2RobotsFull_R2_res0.05.pgm_Block_R2_res0.05.pgm,0,11,-36.32311387181659,1403.579207920792,528,325,202,sift,7.8081746101379395,False,464.3623046875,0.0,0.30818787695041966
12,2RobotsFull_R2_res0.05.pgm_SouthWing_res0.05.pgm,0,12,-90.0,1409.675799086758,528,366,219,sift,4.7293524742126465,False,641.2313232421875,0.0,1.0
13,MiniOverlap_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,0,13,-0.0,1505.3764258555134,505,539,263,sift,3.4912643432617188,False,522.6522827148438,0.0,1.0
14,MiniOverlap_R1_res0.05.pgm_FuulPath_res0.05.pgm,0,14,-90.0,1331.4716981132076,505,530,265,sift,3.4856460094451904,False,596.81005859375,0.8658008658008658,1.0
15,MiniOverlap_R1_res0.05.pgm_Block_R1_res0.05.pgm,0,15,-0.0,1277.700680272109,505,256,147,sift,3.3779611587524414,False,293.9327697753906,7.534246575342466,1.0
16,MiniOverlap_R1_res0.05.pgm_Block_R2_res0.05.pgm,0,16,88.39210137223388,1402.5625,505,325,208,sift,6.655198812484741,False,475.3585205078125,0.0,0.1584423933607898
17,MiniOverlap_R1_res0.05.pgm_SouthWing_res0.05.pgm,0,17,-0.0,1529.5625,505,366,208,sift,3.6818130016326904,False,526.1749267578125,0.9615384615384616,1.0
18,MiniOverlap_R2_res0.05.pgm_FuulPath_res0.05.pgm,0,18,-90.0,1426.238683127572,539,530,243,sift,3.6333184242248535,False,563.692626953125,0.0,1.0
