,FileNames,ransacReprojThreshold,combinations,calculated_theta(degrees),average_distance,original_num_features,rotated_num_features,num_good_matches,detector_type,elapsed_time(s),successful_merge,distance_from_feature_after_merge,percentage_outliers,calculated_scale
0,2RobotsFull_R2_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,0,0,-180.0,1521.0655172413792,567,658,290,sift,11.745783567428589,False,738.2942504882812,0.8403361344537815,1.0212765957446808
1,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,0,1,112.33285203005431,1376.08038585209,658,694,311,sift,7.035991668701172,False,399.5592956542969,2.0689655172413794,0.3685880296081294
2,2RobotsFull_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,0,2,-49.82801318165792,1400.5060240963855,658,708,332,sift,7.2614781856536865,False,489.6537780761719,1.1976047904191618,0.36688998222702146
3,2RobotsFull_R1_res0.05.pgm_FuulPath_res0.05.pgm,0,3,-8.371670823040821,1410.5531135531135,658,657,273,sift,7.431377172470093,False,560.815673828125,0.0,1.0067718347299595
4,Block_R1_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,0,4,-90.0,1517.217741935484,334,658,248,sift,9.713126420974731,False,555.6093139648438,0.0,1.0212765957446808
5,2RobotsFull_R1_res0.05.pgm_Block_R2_res0.05.pgm,0,5,-82.05021832278625,1408.5647058823529,658,460,255,sift,12.272763013839722,False,492.5087585449219,0.0,0.24357614944892578
6,SouthWing_res0.05.pgm_2RobotsFull_R1_res0.05.pgm,0,6,-90.0,1447.3948339483395,470,658,271,sift,12.006813764572144,False,669.8460693359375,0.0,1.0212765957446808
7,2RobotsFull_R2_res0.05.pgm_MiniOverlap_R1_res0.05.pgm,0,7,-90.0,1321.8079470198675,567,694,302,sift,4.9927818775177,False,453.1658020019531,1.0204081632653061,1.0
8,2RobotsFull_R2_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,0,8,-90.0,1442.135646687697,567,708,317,sift,4.854632616043091,False,560.8706665039062,1.7543859649122806,1.0
9,2RobotsFull_R2_res0.05.pgm_FuulPath_res0.05.pgm,0,9,180.0,1302.787456445993,567,657,287,sift,4.785334348678589,False,578.2332763671875,0.0,1.0
10,Block_R1_res0.05.pgm_2RobotsFull_R2_res0.05.pgm,0,10,90.0,1368.0747663551401,334,567,214,sift,6.75398063659668,False,649.8645629882812,0.8064516129032258,1.0
11,2RobotsFull_R2_res0.05.pgm_Block_R2_res0.05.pgm,0,11,130.97835182697708,1369.8152610441766,567,460,249,sift,7.471289396286011,False,478.95159912109375,0.0,0.20213278805028442
12,2RobotsFull_R2_res0.05.pgm_SouthWing_res0.05.pgm,0,12,17.297875222542963,1405.00790513834,567,470,253,sift,4.646692514419556,False,285.45318603515625,3.0303030303030303,0.10806956060725588
13,MiniOverlap_R1_res0.05.pgm_MiniOverlap_R2_res0.05.pgm,0,13,-0.0,1445.7146739130435,694,708,368,sift,3.6746444702148438,False,516.5899658203125,0.6191950464396285,1.0
14,MiniOverlap_R1_res0.05.pgm_FuulPath_res0.05.pgm,0,14,-90.0,1317.0917159763314,694,657,338,sift,3.6463406085968018,False,582.2648315429688,0.6211180124223602,1.0
15,MiniOverlap_R1_res0.05.pgm_Block_R1_res0.05.pgm,0,15,-0.0,1186.1256281407036,694,334,199,sift,3.510676860809326,False,354.4452209472656,5.0761421319796955,1.0
16,MiniOverlap_R1_res0.05.pgm_Block_R2_res0.05.pgm,0,16,-0.42939837580037676,1303.3607142857143,694,460,280,sift,6.615336656570435,False,364.5539245605469,0.32786885245901637,1.0009510460552162
17,MiniOverlap_R1_res0.05.pgm_SouthWing_res0.05.pgm,0,17,-0.0,1403.1904761904761,694,470,273,sift,3.6248693466186523,False,552.7883911132812,0.0,1.0
18,MiniOverlap_R2_res0.05.pgm_FuulPath_res0.05.pgm,0,18,-90.0,1363.9932432432433,708,657,296,sift,3.612180709838867,False,519.66162109375,0.0,1.0
19,MiniOverlap_R2_res0.05.pgm_Block_R1_res0.05.pgm,0,19,-0.0,1294.1884816753927,708,334,191,sift,5.067399263381958,False,611.9945068359375,0.5319148936170213,1.0
20,MiniOverlap_R2_res0.05.pgm_Block_R2_res0.05.pgm,0,20,-90.51992565681871,1433.0806451612902,708,460,248,sift,7.693820476531982,False,511.0837097167969,0.0,0.3940834152252271
21,MiniOverlap_R2_res0.05.pgm_SouthWing_res0.05.pgm,0,21,-0.0,1360.7340823970037,708,470,267,sift,4.6691882610321045,False,726.8347778320312,0.0,1.0
22,FuulPath_res0.05.pgm_Block_R1_res0.05.pgm,0,22,82.94209497117242,1176.4717948717948,657,334,195,sift,3.954808473587036,False,422.8610534667969,0.7092198581560284,0.4766042435413601
23,FuulPath_res0.05.pgm_Block_R2_res0.05.pgm,0,23,-24.06131563488751,1376.8803088803088,657,460,259,sift,8.61464786529541,False,496.78326416015625,1.2987012987012987,0.8033326802589382
24,FuulPath_res0.05.pgm_SouthWing_res0.05.pgm,0,24,90.0,1445.0503875968993,657,470,258,sift,4.221205711364746,False,739.3378295898438,0.0,1.0
